route_name,time_set,avg_travel_time_min,median_travel_time_min,harmonic_avg_speed_kph,sample_size_avg,avg_travel_time_ratio,planning_time_index
Chandler Street Corridor,AM Peak,8.7,6.316666666666666,32.64,5466.17,1.0,2.22
Chandler Street Corridor,Midday,9.95,6.933333333333334,28.56,4952.67,1.14,2.61
Chandler Street Corridor,PM Peak,10.066666666666666,6.966666666666667,28.23,7832.43,1.16,2.71
Chandler Street Corridor,Weekend Noon,9.75,6.833333333333333,29.16,2346.85,1.12,2.58
Downtown Cross-Town Route,AM Peak,9.666666666666666,6.1,23.13,7325.32,1.0,2.72
Downtown Cross-Town Route,Midday,9.75,6.45,22.9,5816.97,1.01,2.65
Downtown Cross-Town Route,PM Peak,9.933333333333334,6.5,22.47,10868.41,1.03,2.78
Downtown Cross-Town Route,Weekend Noon,9.0,6.066666666666666,24.83,2934.51,0.93,2.37
Downtown to I-290 Connector,AM Peak,3.6666666666666665,2.0166666666666666,17.45,5310.59,1.0,2.87
Downtown to I-290 Connector,Midday,3.8333333333333335,2.15,16.64,4963.1,1.05,3.16
Downtown to I-290 Connector,PM Peak,4.066666666666666,2.1,15.71,8420.36,1.11,3.6
Downtown to I-290 Connector,Weekend Noon,3.4833333333333334,1.9666666666666666,18.37,2061.74,0.95,2.72
Main Street Corridor,AM Peak,10.616666666666667,7.333333333333333,22.49,2450.02,1.0,2.41
Main Street Corridor,Midday,13.083333333333334,8.916666666666666,18.27,3131.72,1.23,3.01
Main Street Corridor,PM Peak,13.6,9.216666666666667,17.56,5934.22,1.28,3.26
Main Street Corridor,Weekend Noon,12.3,8.65,19.44,1367.19,1.16,2.79
Park Avenue Corridor,AM Peak,10.6,6.883333333333334,26.91,7948.87,1.0,2.75
Park Avenue Corridor,Midday,11.95,7.6,23.86,7292.28,1.13,3.1
Park Avenue Corridor,PM Peak,11.7,7.333333333333333,24.36,11892.83,1.1,3.1
Park Avenue Corridor,Weekend Noon,11.566666666666666,7.316666666666666,24.65,3168.78,1.09,2.99
